STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4931;19530101;    5;   4.0;   2.4;    5;   0.7;   7;-999;   0;   5.3;   5.1;  949.00;   -1.6;   93.00;   -0.6;   -3.9;-999;eor
       4931;19530102;    5;   7.5;   4.8;    5;   1.6;   7;-999;   1;   8.0;   4.8;  956.20;   -2.1;   92.00;   -1.2;   -2.3;-999;eor
       4931;19530103;    5;   5.2;   2.1;    5;   1.0;   7;-999;   3;   8.0;   4.7;  958.70;   -2.8;   94.00;   -1.9;   -3.3;-999;eor
       4931;19530104;    5;   4.3;   3.0;    5;   0.6;   7;-999;   5;   8.0;   4.7;  965.40;   -2.2;   90.00;   -1.4;   -4.0;-999;eor
       4931;19530105;    5;   5.0;   3.7;    5;   0.2;   7;-999;   6;   8.0;   4.5;  968.70;   -3.0;   90.00;   -1.6;   -3.7;-999;eor
       4931;19530106;    5;   4.2;   1.9;    5;   1.0;   7;-999;   5;   8.0;   4.3;  958.80;   -3.3;   90.00;   -2.7;   -4.3;-999;eor
       4931;19530107;    5;   4.4;   3.2;    5;   1.1;   7;-999;   6;   8.0;   4.3;  956.20;   -3.9;   92.00;   -3.1;   -4.2;-999;eor
       4931;19530108;    5;   3.3;   1.4;    5;   0.3;   7;-999;   8;   8.0;   4.7;  964.70;   -3.0;   96.00;   -2.4;   -4.3;-999;eor
       4931;19530109;    5;  12.5;   4.0;    5;   1.0;   7;-999;   8;   7.3;   4.7;  969.20;   -2.0;   89.00;   -1.0;   -3.4;-999;eor
       4931;19530110;    5;  12.0;   5.2;    5;   0.5;   8;-999;   9;   8.0;   5.3;  968.30;   -0.7;   90.00;    0.2;   -2.4;-999;eor
       4931;19530111;    5;   5.0;   2.4;    5;   0.0;   7;-999;   8;   7.0;   4.3;  979.40;   -3.2;   84.00;   -0.5;   -5.7;-999;eor
       4931;19530112;    5;   3.4;   1.2;    5;   0.0;   7;-999;   7;   8.0;   3.7;  982.20;   -4.9;   88.00;   -4.1;   -7.6;-999;eor
       4931;19530113;    5;   3.6;   1.2;    5;   0.0;   0;-999;   7;   3.0;   3.7;  980.80;   -5.2;   87.00;   -1.7;   -7.2;-999;eor
       4931;19530114;    5;   1.6;   0.4;    5;   0.0;   0;-999;   6;   8.0;   3.5;  976.60;   -5.9;   91.00;   -4.2;  -11.8;-999;eor
       4931;19530115;    5;   4.2;   2.3;    5;   0.2;   7;-999;   6;   5.0;   3.5;  976.60;   -4.5;   76.00;   -0.9;   -6.8;-999;eor
       4931;19530116;    5;   4.0;   1.2;    5;   0.5;   8;-999;   7;   8.0;   4.4;  975.90;   -2.7;   87.00;   -1.5;   -7.2;-999;eor
       4931;19530117;    5;   6.0;   1.9;    5;   0.0;   0;-999;   6;   8.0;   5.2;  976.00;   -1.0;   92.00;    0.0;   -2.4;-999;eor
       4931;19530118;    5;   3.4;   1.8;    5;   0.4;   8;-999;   6;   8.0;   4.5;  978.60;   -2.4;   89.00;   -0.7;   -3.0;-999;eor
       4931;19530119;    5;   4.0;   2.2;    5;   1.7;   8;-999;   6;   8.0;   5.2;  981.00;   -0.6;   91.00;    0.6;   -3.2;-999;eor
       4931;19530120;    5;   3.9;   1.5;    5;   0.0;   0;-999;   6;   3.3;   4.7;  984.20;   -2.0;   85.00;    1.2;   -4.1;-999;eor
       4931;19530121;    5;   2.6;   1.1;    5;   0.0;   0;-999;   5;   5.3;   3.5;  981.40;   -4.6;   82.00;   -0.9;  -12.8;-999;eor
       4931;19530122;    5;   2.9;   1.2;    5;   0.0;   0;-999;   5;   8.0;   5.1;  977.20;   -0.1;   85.00;    1.8;   -2.8;-999;eor
       4931;19530123;    5;   4.0;   1.3;    5;   0.0;   7;-999;   5;   8.0;   5.6;  972.80;    1.1;   85.00;    1.9;   -0.5;-999;eor
